source,target,weight
0,10,10
0,44,5
0,45,5
0,35,10
0,42,10
0,9,5
0,11,10
0,30,10
0,25,10
0,15,10
0,22,10
0,26,10
0,23,10
0,18,5
0,21,10
0,16,10
0,17,10
0,12,10
0,1,10
0,7,10
0,3,10
0,6,10
0,5,10
0,2,10
1,7,5
1,25,10
1,3,10
1,22,10
1,26,10
1,24,10
1,16,5
1,17,10
1,12,10
1,2,5
1,8,10
1,21,10
2,8,10
2,21,5
2,31,10
2,22,10
2,26,10
2,25,10
2,24,10
12,2,10
2,23,5
10,2,10
17,2,10
2,3,10
2,16,5
2,6,10
2,7,10
2,5,10
3,45,10
3,26,5
18,3,10
3,6,10
24,3,10
3,5,10
25,3,10
3,7,10
3,15,5
3,8,5
22,3,10
12,3,10
17,3,10
21,3,10
3,16,5
38,4,10
12,4,10
13,4,10
14,5,10
15,5,10
45,5,10
5,1,5
31,5,10
22,5,10
5,7,10
12,5,10
23,5,10
24,5,10
21,5,10
11,5,10
17,5,10
10,5,10
5,6,10
6,1,5
11,6,10
43,6,10
6,46,5
45,6,10
6,37,5
6,28,5
6,29,5
34,6,10
25,6,10
14,6,10
31,6,10
26,6,10
6,18,5
15,6,10
22,6,10
24,6,10
10,6,10
17,6,10
6,7,10
12,6,10
23,6,10
7,26,5
7,22,5
17,7,10
25,7,10
10,7,10
24,8,10
9,2,5
14,9,10
11,9,10
9,12,5
10,18,5
10,12,5
10,24,5
10,45,5
10,1,5
10,26,5
10,15,5
10,16,5
10,8,5
10,3,5
10,25,5
10,17,5
10,22,10
10,23,10
10,31,10
11,25,10
11,14,10
11,23,10
12,45,5
12,14,10
12,8,5
12,15,10
12,35,10
12,33,10
12,38,10
12,31,10
12,30,10
12,21,10
12,16,10
12,25,10
12,24,10
12,22,10
12,26,10
12,17,10
12,13,10
12,18,10
13,38,10
14,38,5
14,33,10
14,40,10
14,36,5
14,23,10
14,29,10
14,28,5
14,24,5
14,25,10
14,22,10
15,24,10
15,17,10
15,45,5
15,18,5
15,22,10
15,23,10
16,24,10
16,21,10
16,17,10
17,45,5
17,30,10
17,22,10
17,25,10
17,18,10
17,26,10
17,24,10
17,21,5
18,38,10
18,45,5
18,22,10
18,16,5
18,1,5
18,2,5
18,25,10
18,24,10
18,31,10
18,13,5
18,4,5
21,26,10
21,28,5
21,22,10
21,24,10
21,15,5
22,45,10
22,26,10
22,31,10
22,25,10
22,24,10
22,23,10
23,29,5
23,34,10
23,45,5
23,9,5
23,31,10
23,25,10
23,26,10
23,18,5
23,12,5
23,7,5
23,3,5
23,24,10
23,17,5
24,29,5
24,7,5
24,45,10
24,31,10
24,25,10
25,28,5
25,43,10
25,44,10
25,9,5
25,30,10
25,31,10
25,15,5
25,26,10
25,5,5
25,21,5
25,16,5
26,45,5
26,24,5
26,8,5
26,35,10
26,5,5
27,3,5
27,2,5
27,1,5
27,4,5
27,13,5
27,8,5
27,37,5
28,48,10
28,46,10
28,36,10
28,29,10
29,40,10
29,11,5
30,45,5
30,35,10
30,38,5
30,31,10
30,1,5
30,21,5
30,26,5
30,22,5
30,24,5
30,16,5
30,2,5
30,3,5
31,7,5
31,45,10
31,35,10
31,8,5
31,16,5
31,1,5
31,3,5
32,1,5
32,11,5
32,14,5
33,35,5
33,18,5
33,38,10
33,13,5
33,4,5
34,5,5
34,26,5
34,7,5
35,18,5
35,38,10
35,13,5
35,17,5
35,2,5
35,22,5
35,24,5
35,3,5
35,25,5
35,1,5
36,48,10
36,47,10
36,46,5
37,2,5
37,1,5
39,24,5
39,26,5
39,17,5
39,0,5
39,2,5
39,1,5
39,41,10
39,12,5
40,28,5
40,24,5
40,11,5
40,17,5
40,8,5
41,12,5
41,17,5
42,22,5
42,24,5
42,1,5
42,30,5
42,17,5
42,18,5
42,12,5
43,44,5
43,32,5
43,9,5
43,26,5
43,7,5
43,17,5
43,2,5
43,1,5
45,16,5
45,2,5
45,1,5
46,17,5
46,48,10
46,21,5
46,47,10
47,2,5
47,1,5
48,24,5
48,2,5
48,40,5
48,37,5
48,47,5
48,12,5
48,1,5
48,17,5
48,30,5
48,14,5
12,19,1
14,19,1
29,9,1
0,24,1
0,27,1
1,23,1
27,5,1
21,6,1
27,6,1
21,23,1
21,27,1
22,27,1
23,27,1
24,27,1
38,9,1
24,9,1
11,3,1
19,3,1
19,6,1
10,11,1
10,19,1
10,27,1
11,19,1
11,24,1
11,27,1
11,31,1
19,24,1
19,25,1
19,27,1
19,31,1
25,27,1
27,31,1
5,9,1
6,9,1
1,9,1
1,14,1
1,19,1
1,38,1
14,2,1
19,2,1
2,38,1
19,9,1
19,23,1
19,38,1
23,38,1
1,11,1
11,12,1
11,38,1
24,38,1
25,38,1
1,15,1
15,2,1
11,22,1
11,30,1
23,30,1
1,20,1
20,5,1
7,9,1
11,7,1
20,7,1
20,9,1
11,20,1
8,9,1
14,8,1
23,8,1
27,9,1
14,27,1
3,9,1
12,27,1
14,7,1
21,9,1
33,6,1
21,33,1
23,28,1
23,33,1
28,33,1
10,14,1
5,8,1
6,8,1
24,33,1
27,33,1
1,33,1
1,40,1
2,32,1
2,33,1
2,40,1
14,3,1
3,32,1
3,33,1
3,37,1
3,38,1
3,40,1
3,43,1
17,8,1
21,8,1
30,8,1
32,8,1
33,8,1
35,8,1
37,8,1
38,8,1
43,8,1
10,9,1
17,9,1
26,9,1
30,9,1
31,9,1
32,9,1
33,9,1
35,9,1
37,9,1
40,9,1
10,21,1
10,30,1
10,32,1
10,33,1
10,35,1
10,37,1
10,38,1
10,40,1
10,43,1
12,32,1
12,37,1
12,40,1
12,43,1
14,17,1
14,21,1
14,26,1
14,30,1
14,31,1
14,35,1
14,37,1
14,43,1
17,27,1
17,31,1
17,32,1
17,33,1
17,37,1
17,38,1
21,31,1
21,32,1
21,35,1
21,37,1
21,38,1
21,40,1
21,43,1
23,32,1
23,35,1
23,37,1
23,40,1
23,43,1
24,32,1
24,37,1
24,43,1
26,27,1
26,31,1
26,32,1
26,33,1
26,37,1
26,38,1
26,40,1
27,30,1
27,32,1
27,35,1
27,38,1
27,40,1
27,43,1
30,32,1
30,33,1
30,37,1
30,40,1
30,43,1
31,32,1
31,33,1
31,37,1
31,38,1
31,40,1
31,43,1
32,33,1
32,35,1
32,37,1
32,38,1
32,40,1
33,37,1
33,40,1
33,43,1
35,37,1
35,40,1
35,43,1
37,38,1
37,40,1
37,43,1
38,40,1
38,43,1
40,43,1
4,5,1
4,8,1
4,9,1
14,4,1
20,4,1
23,4,1
24,4,1
31,4,1
20,8,1
14,20,1
20,23,1
20,24,1
20,27,1
20,31,1
15,7,1
1,4,1
4,6,1
0,33,1
2,4,1
3,4,1
10,4,1
17,4,1
25,4,1
26,4,1
30,4,1
32,4,1
37,4,1
4,40,1
4,43,1
18,5,1
30,5,1
32,5,1
33,5,1
37,5,1
40,5,1
43,5,1
18,8,1
25,8,1
18,26,1
18,27,1
18,30,1
18,32,1
18,37,1
18,40,1
18,43,1
25,32,1
25,33,1
25,37,1
25,40,1
14,18,1
45,8,1
27,45,1
11,2,1
11,8,1
15,8,1
22,8,1
15,9,1
22,9,1
11,15,1
14,15,1
15,27,1
22,33,1
16,8,1
16,27,1
2,20,1
2,29,1
20,3,1
29,3,1
29,5,1
20,6,1
20,29,1
20,33,1
29,33,1
30,6,1
12,29,1
21,29,1
22,29,1
27,29,1
29,30,1
29,31,1
35,6,1
39,6,1
14,39,1
14,45,1
23,39,1
27,39,1
35,39,1
35,45,1
39,45,1
13,6,1
38,6,1
13,23,1
13,31,1
45,9,1
13,17,1
13,24,1
39,5,1
39,9,1
20,39,1
20,45,1
2,42,1
1,29,1
0,31,1
11,17,1
0,20,1
21,45,1
22,37,1
37,45,1
0,14,1
0,47,1
47,5,1
47,6,1
14,47,1
15,33,1
15,47,1
22,47,1
23,47,1
24,47,1
33,47,1
29,8,1
10,29,1
26,29,1
33,45,1
4,7,1
35,4,1
12,7,1
27,7,1
30,7,1
35,7,1
40,7,1
3,47,1
47,8,1
47,9,1
10,47,1
27,47,1
29,4,1
4,47,1
25,29,1
25,47,1
29,47,1
40,47,1
11,33,1
0,41,1
23,41,1
25,41,1
13,9,1
13,29,1
0,29,1
15,26,1
15,29,1
22,38,1
13,14,1
0,46,1
2,46,1
46,5,1
22,46,1
23,46,1
24,46,1
0,8,1
3,42,1
42,6,1
10,42,1
23,42,1
31,42,1
42,45,1
1,13,1
13,21,1
13,45,1
18,21,1
38,45,1
21,7,1
13,30,1
14,42,1
11,21,1
19,8,1
19,35,1
25,42,1
19,5,1
20,22,1
38,5,1
0,38,1
0,43,1
13,8,1
32,7,1
21,4,1
45,7,1
25,45,1
35,5,1
22,4,1
2,41,1
41,5,1
41,6,1
40,45,1
7,8,1
12,20,1
20,25,1
31,46,1
15,4,1
4,45,1
18,7,1
38,7,1
15,31,1
15,38,1
40,6,1
38,47,1
19,26,1
19,45,1
15,35,1
3,39,1
39,7,1
10,39,1
21,39,1
22,39,1
22,43,1
25,39,1
30,39,1
39,43,1
31,47,1
18,9,1
27,42,1
11,37,1
2,44,1
12,44,1
12,47,1
18,47,1
11,18,1
0,37,1
29,38,1
11,46,1
37,7,1
41,7,1
46,7,1
37,41,1
37,46,1
41,46,1
39,8,1
31,39,1
1,46,1
17,29,1
15,39,1
15,30,1
13,41,1
38,41,1
12,46,1
11,35,1
33,7,1
48,9,1
3,41,1
10,41,1
18,41,1
21,41,1
30,41,1
31,41,1
35,41,1
16,4,1
13,3,1
13,5,1
13,22,1
10,13,1
13,2,1
11,26,1
15,41,1
22,41,1
24,41,1
41,45,1
42,5,1
20,42,1
1,44,1
3,44,1
3,46,1
44,7,1
14,44,1
14,46,1
17,44,1
23,44,1
24,44,1
25,46,1
26,44,1
26,46,1
31,44,1
44,45,1
44,46,1
45,46,1
20,21,1
16,35,1
16,39,1
22,32,1
22,40,1
21,47,1
0,34,1
1,34,1
2,34,1
3,34,1
10,34,1
12,34,1
17,34,1
21,34,1
22,34,1
24,34,1
25,34,1
30,34,1
34,35,1
34,39,1
34,43,1
16,5,1
16,23,1
16,26,1
0,19,1
0,28,1
0,32,1
0,40,1
0,48,1
2,28,1
28,3,1
3,48,1
28,5,1
48,5,1
32,6,1
48,6,1
10,20,1
10,28,1
10,46,1
10,48,1
11,28,1
11,34,1
11,39,1
11,41,1
11,42,1
11,43,1
11,47,1
11,48,1
12,28,1
14,34,1
14,41,1
15,19,1
15,20,1
15,28,1
15,32,1
15,34,1
15,37,1
15,40,1
15,42,1
15,43,1
15,46,1
15,48,1
17,19,1
17,20,1
17,28,1
17,47,1
18,19,1
18,20,1
18,28,1
18,29,1
18,34,1
18,39,1
18,46,1
18,48,1
19,20,1
19,21,1
19,22,1
19,28,1
19,29,1
19,30,1
19,32,1
19,33,1
19,34,1
19,37,1
19,39,1
19,40,1
19,41,1
19,42,1
19,43,1
19,46,1
19,47,1
19,48,1
20,26,1
20,28,1
20,30,1
20,32,1
20,34,1
20,35,1
20,37,1
20,38,1
20,40,1
20,41,1
20,43,1
20,46,1
20,47,1
20,48,1
21,42,1
21,48,1
22,28,1
22,48,1
23,48,1
24,28,1
25,48,1
26,28,1
26,41,1
26,42,1
26,47,1
26,48,1
27,28,1
27,34,1
27,41,1
27,46,1
27,48,1
28,30,1
28,31,1
28,32,1
28,34,1
28,35,1
28,37,1
28,38,1
28,39,1
28,41,1
28,42,1
28,43,1
28,47,1
29,32,1
29,34,1
29,35,1
29,37,1
29,39,1
29,41,1
29,42,1
29,43,1
29,46,1
29,48,1
30,46,1
30,47,1
31,34,1
31,48,1
32,34,1
32,39,1
32,41,1
32,42,1
32,46,1
32,47,1
32,48,1
33,34,1
33,39,1
33,41,1
33,42,1
33,46,1
33,48,1
34,37,1
34,38,1
34,40,1
34,41,1
34,42,1
34,46,1
34,47,1
34,48,1
35,42,1
35,46,1
35,47,1
35,48,1
37,39,1
37,42,1
37,47,1
38,39,1
38,42,1
38,46,1
38,48,1
39,40,1
39,42,1
39,46,1
39,47,1
39,48,1
40,41,1
40,42,1
40,46,1
41,42,1
41,43,1
41,47,1
41,48,1
42,43,1
42,46,1
42,47,1
42,48,1
43,46,1
43,47,1
43,48,1
16,22,1
0,4,1
16,6,1
16,46,1
11,13,1
11,45,1
13,40,1
29,45,1
14,16,1
16,40,1
1,28,1
44,6,1
44,9,1
11,4,1
13,26,1
13,37,1
28,8,1
28,9,1
13,15,1
29,7,1
13,28,1
31,36,1
