id,handle,followers_count,friends_count,isProxy
0,"stuttgarttweets",17149,4993,0
1,"StZ_NEWS",131456,1012,0
2,"StN_News",41840,2605,0
3,"SWRAktuellBW",75340,810,0
4,"UniHalle",11271,360,0
5,"mfg_kreativ",4146,880,0
6,"KreativNetzBW",2633,2333,0
7,"itfs",8145,274,0
8,"dpa",386789,1412,0
9,"memplexx",1733,4392,0
10,"MFG_Film_Fund",847,444,0
11,"eichsteller",2937,2561,0
12,"Uni_Stuttgart",10788,1213,0
13,"unihh",24398,499,0
14,"datenreiserecht",2380,2128,0
15,"IT_Region",1778,390,0
16,"BILD_Stuttgart",7506,40,0
17,"stuttgart_stadt",32062,221,0
18,"UniHohenheim",3876,308,0
19,"FrankBodin",2437,221,0
20,"hdm_wi",107,60,0
21,"STR_Airport",10309,1018,0
22,"BWjetzt",17084,562,0
23,"MFG_Akademie",1473,1385,0
24,"RegierungBW",86053,1137,0
25,"stuggitv",3358,679,0
26,"StZ_Stadtkind",3653,163,0
27,"Dudenverlag",36062,2680,0
28,"sandhu_hdm",553,14,0
29,"DigitaleEthik",1782,274,0
30,"SWStuttgart",544,206,0
31,"TheresiaBauer",4784,721,0
32,"redaktion_hdm",30,9,0
33,"hochschulcamp",993,1304,0
34,"ITFSGameZone",21,16,0
35,"HFT_Presse",628,199,0
36,"pr_parcours",461,5,0
37,"MediapubHdM",152,258,0
38,"bv_hkom",1517,976,0
39,"generator_hdm",172,41,0
40,"HdM_Conmedia",36,73,0
41,"goEBMC",70,20,0
42,"QueerMediaDays",33,39,0
43,"HdM_goes_ITFS",43,59,0
44,"2nach9",26,8,0
45,"WM_BW",4386,343,0
46,"hdm_praktisch",225,28,0
47,"PR_in_Stuttgart",124,32,0
48,"hdm_crpr",212,56,0
